4732\ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4733\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4734\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4735\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4737\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4738\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4739\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4740\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4741\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4742\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4743\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4744\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
4745\  ESTANTE METLICO 2 MTS X 0,90 MTS X 0,31 DE CON 5 BANDEJAS
3151\105 LICENCIAS MICROSOFT WINDOWS SERVER CAL 2003 SPANISH 
3773\115 Licencias SYMANTEC ANTIVIRUS ENTERPRISE EDIT 10.0 GOLD MAINT 1YR RNW
3152\115 SOFTWARE ANTIVIRUS SYMANTEC
3873\123 LICENCIAS DE SYMC MULTI TIER PROTECTIN 11.0 BASIC
3808\123 SYMANTEC REVOVACION DE LICENCIAS ANTIVIRUS ENTERPRESE EDITIORN
3917\125 LICENCIAS SYMC ENDPOINT PROTECTION 11.0 BNDL 
3956\136 LICENCIAS ESET SMART SECURITY  V4 BUSINESS EDITIN
4015\142 LICENCIAS ANTIVIRUS ESET SMART SECURITY BUSINESS EDITIN
4176\185 ANTIVIRUS KASPERSKY BUSINESS SPACE SECURITY UN AO
4665\200 LICENCIAS CORPORATIVAS KARSPERSKY
4940\200 LICENCIAS KARSPERSKY
4476\4 LICENCIAS WINDOWS SERVER 2012 CON HYPER-V ACTIVADO, P/ DOS PROCESADORES
3772\6 Licencias SYMANTEC ANTIVIRUS ENTERPRISE EDIT 10.0 GOLD MAINT 1YR RNW
0\ACCESORIOS MUEBLES
3806\ACTUALIZACIONES LEGISLACION EMPRESARIAL PRIMER SEMESTRE 2006
3649\ADOBE ACROBAT 6.0 PROFESIONAL
3796\ADOBE ACROBAT PROFESSIONAL (VERSION 7.0)
3492\ADORNO TERMINAL 1600 VIVENDI
3493\ADORNO TERMINAL 900 VIVENDI
3193\ADORNO TERMINAL UNION 768 VIVENDI
3494\ADORNO TERMINAL UNION 768 VIVENDI
2961\AIRE ACONDICIONADO MARCA CARRIER,MODELO 42LSA25225AL DE 25000 BTU
1457\ANAQUEL VIVENDI 1200 TELA
587\ANAQUEL VIVENDI 900 TELA
588\ANAQUEL VIVENDI 900 TELA
589\ANAQUEL VIVENDI 900 TELA
590\ANAQUEL VIVENDI 900 TELA
591\ANAQUEL VIVENDI 900 TELA
592\ANAQUEL VIVENDI 900 TELA
593\ANAQUEL VIVENDI 900 TELA
594\ANAQUEL VIVENDI 900 TELA
595\ANAQUEL VIVENDI 900 TELA
596\ANAQUEL VIVENDI 900 TELA
597\ANAQUEL VIVENDI 900 TELA
598\ANAQUEL VIVENDI 900 TELA
1042\ANAQUEL VIVENDI 900 TELA
1043\ANAQUEL VIVENDI 900 TELA
1044\ANAQUEL VIVENDI 900 TELA
1045\ANAQUEL VIVENDI 900 TELA
1047\ANAQUEL VIVENDI 900 TELA
1048\ANAQUEL VIVENDI 900 TELA
1445\ANAQUEL VIVENDI 900 TELA
1446\ANAQUEL VIVENDI 900 TELA
1447\ANAQUEL VIVENDI 900 TELA
1448\ANAQUEL VIVENDI 900 TELA
1449\ANAQUEL VIVENDI 900 TELA
1046\ANAQUEL VIVENDI 900 TELA
1052\ANAQUEL VIVENDI 900 TELA
1053\ANAQUEL VIVENDI 900 TELA
1800\ANAQUEL VIVENDI 900 TELA
1801\ANAQUEL VIVENDI 900 TELA
1802\ANAQUEL VIVENDI 900 TELA
1803\ANAQUEL VIVENDI 900 TELA
1804\ANAQUEL VIVENDI 900 TELA
1805\ANAQUEL VIVENDI 900 TELA
1806\ANAQUEL VIVENDI 900 TELA
1807\ANAQUEL VIVENDI 900 TELA
1049\ANAQUEL VIVENDI 900 TELA
1450\ANAQUEL VIVENDI 900 TELA
1451\ANAQUEL VIVENDI 900 TELA
1452\ANAQUEL VIVENDI 900 TELA
1453\ANAQUEL VIVENDI 900 TELA
1454\ANAQUEL VIVENDI 900 TELA
1455\ANAQUEL VIVENDI 900 TELA
1456\ANAQUEL VIVENDI 900 TELA
1795\ANAQUEL VIVENDI 900 TELA
1796\ANAQUEL VIVENDI 900 TELA
1797\ANAQUEL VIVENDI 900 TELA
1798\ANAQUEL VIVENDI 900 TELA
1799\ANAQUEL VIVENDI 900 TELA
1054\ANAQUEL VIVENDI 900 TELA
2060\ANAQUEL VIVENDI 900 TELA
906\ANAQUEL VIVENDI 900 TELA
2766\ANAQUEL VIVENDI 900 TELA
2767\ANAQUEL VIVENDI 900 TELA
2768\ANAQUEL VIVENDI 900 TELA
2061\ANAQUEL VIVENDI 900 TELA
2062\ANAQUEL VIVENDI 900 TELA
2063\ANAQUEL VIVENDI 900 TELA
3495\ANAQUEL VIVENDI 900 TELA
3496\ANAQUEL VIVENDI 900 TELA
902\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
903\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
904\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
905\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
1056\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
1057\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
3455\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
3456\ANAQUEL VIVENDI 900 TELA CON ESPALDAR
908\ARCHIVADOR LATERAL 700
2585\ARCHIVADOR LATERAL 700
909\ARCHIVADOR LATERAL 700 SIN TABLERO
3497\ARCHIVADOR LATERAL 700 SIN TABLERO
1459\ARCHIVADOR LATERAL 700 SIN TABLERO
1073\ARCHIVADOR LATERAL 700 SIN TABLERO
2087\ARCHIVADOR LATERAL 700 SIN TABLERO
3124\ARCHIVADOR LATERAL 700 SIN TABLERO
1460\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
911\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
910\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
2770\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
1996\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
2088\ARCHIVADOR RODANTE GAVETAS MULTIPLE Y FOLDER
3262\ARMARIO 1360-450
912\ARMARIO 1360-450
913\ARMARIO 1360-450
2583\ARMARIO 1360-450
1076\ARMARIO 700-450
1467\ARMARIO 700-450
4803\ARMARIO ALTO DE ARCHIVO
